ERS14600461	Nycticebus_bengalensis
ERS14600462	Semnopithecus_entellus
ERS14600463	Semnopithecus_entellus
ERS14600464	Semnopithecus_entellus
ERS14600465	Semnopithecus_entellus
ERS14600466	Semnopithecus_entellus
ERS14600467	Semnopithecus_entellus
ERS14600468	Semnopithecus_entellus
ERS14600469	Semnopithecus_hypoleucos
ERS14600470	Semnopithecus_hypoleucos
ERS14600471	Semnopithecus_hypoleucos
ERS14600472	Semnopithecus_hypoleucos
ERS14600473	Semnopithecus_schistaceus
ERS14600474	Semnopithecus_schistaceus
ERS14600475	Trachypithecus_geei
ERS14600476	Trachypithecus_geei
ERS14600477	Trachypithecus_geei
ERS14600478	Trachypithecus_geei
ERS14600479	Trachypithecus_geei
ERS14600480	Trachypithecus_geei
ERS14600481	Semnopithecus_johnii
ERS14600482	Trachypithecus_phayrei
ERS14600483	Trachypithecus_pileatus
ERS14600484	Varecia_rubra
ERS14600485	Cheirogaleus_major
ERS14600486	Cheirogaleus_medius
ERS14600487	Microcebus_murinus
ERS14600488	Mirza_zaza
ERS14600489	Propithecus_coquereli
ERS14600490	Eulemur_collaris
ERS14600491	Eulemur_coronatus
ERS14600492	Eulemur_flavifrons
ERS14600493	Eulemur_fulvus
ERS14600494	Eulemur_macaco
ERS14600495	Eulemur_mongoz
ERS14600496	Eulemur_rubriventer
ERS14600497	Eulemur_rufus
ERS14600498	Eulemur_sanfordi
ERS14600499	Hapalemur_alaotrensis
ERS14600500	Lemur_catta
ERS14600501	Varecia_variegata_variegata
ERS14600502	Galagoides_demidoff
ERS14600503	Otolemur_crassicaudatus
ERS14600505	Otolemur_crassicaudatus
ERS14600506	Loris_tardigradus
ERS14600507	Perodicticus_potto
ERS14600508	Cephalopachus_bancanus
ERS14600509	Carlito_syrichta
ERS14600510	Papio_ursinus
ERS14600511	Papio_ursinus
ERS14600512	Papio_ursinus
ERS14600513	Papio_ursinus
ERS14600514	Papio_hamadryas
ERS14600515	Papio_hamadryas
ERS14600516	Papio_hamadryas
ERS14600517	Papio_hamadryas
ERS14600518	Papio_hamadryas
ERS14600519	Papio_hamadryas
ERS14600520	Papio_hamadryas
ERS14600521	Papio_hamadryas
ERS14600522	Papio_hamadryas
ERS14600523	Papio_hamadryas
ERS14600524	Papio_hamadryas
ERS14600525	Papio_hamadryas
ERS14600526	Papio_hamadryas
ERS14600527	Papio_hamadryas
ERS14600528	Papio_hamadryas
ERS14600529	Papio_hamadryas
ERS14600530	Papio_hamadryas
ERS14600531	Papio_hamadryas
